2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:20 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,TAS,192,Kelso,113,37.42,189,62.58,302,98.37,5,1.63,307
1,TAS,196,Kempton,90,30.51,205,69.49,295,98.66,4,1.34,299
1,TAS,195,Kettering,284,57.37,211,42.63,495,98.61,7,1.39,502
1,TAS,192,Kings Meadows,410,41.54,577,58.46,987,99,10,1,997
1,TAS,192,Kings Meadows South,178,36.55,309,63.45,487,99.59,2,0.41,489
1,TAS,319,Kingston (Clark),391,64.63,214,35.37,605,98.37,10,1.63,615
1,TAS,195,Kingston (Franklin),1212,50.86,1171,49.14,2383,99,24,1,2407
1,TAS,319,Kingston Beach (Clark),160,67.23,78,32.77,238,99.17,2,0.83,240
1,TAS,195,Kingston Beach (Franklin),642,60.8,414,39.2,1056,98.69,14,1.31,1070
1,TAS,319,Kingston CLARK PPVC,860,60.31,566,39.69,1426,99.37,9,0.63,1435
1,TAS,195,Kingston FRANKLIN PPVC,3580,48.5,3802,51.5,7382,99.06,70,0.94,7452
1,TAS,195,Kingston South,193,61.66,120,38.34,313,99.68,1,0.32,314
1,TAS,195,Kingston West,381,46.07,446,53.93,827,98.34,14,1.66,841
1,TAS,196,Lachlan,168,34.71,316,65.29,484,98.78,6,1.22,490
1,TAS,192,Lady Barron,77,56.62,59,43.38,136,99.27,1,0.73,137
1,TAS,193,Latrobe,310,23.2,1026,76.8,1336,98.67,18,1.33,1354
1,TAS,193,Latrobe South,296,25.34,872,74.66,1168,98.57,17,1.43,1185
1,TAS,195,Lauderdale,1022,50.34,1008,49.66,2030,98.54,30,1.46,2060
1,TAS,192,Launceston,694,55.88,548,44.12,1242,98.49,19,1.51,1261
1,TAS,192,Launceston BASS PPVC,5842,41.83,8123,58.17,13965,99.13,123,0.87,14088
1,TAS,192,Launceston Central,225,57.99,163,42.01,388,99.23,3,0.77,391
1,TAS,196,Launceston LYONS PPVC,928,32.01,1971,67.99,2899,99.08,27,0.92,2926
1,TAS,192,Lebrina,57,25.56,166,74.44,223,99.55,1,0.45,224
1,TAS,192,Legana,792,36.35,1387,63.65,2179,98.6,31,1.4,2210
1,TAS,192,Legana Central,95,30.16,220,69.84,315,99.68,1,0.32,316
1,TAS,319,Lenah Valley,1444,71.1,587,28.9,2031,99.02,20,0.98,2051
1,TAS,192,Lilydale,279,42.34,380,57.66,659,98.8,8,1.2,667
1,TAS,195,Lindisfarne,722,61.39,454,38.61,1176,98.66,16,1.34,1192
1,TAS,195,Lindisfarne Village,890,61.34,561,38.66,1451,98.98,15,1.02,1466
1,TAS,196,Longford,582,29.86,1367,70.14,1949,98.53,29,1.47,1978
1,TAS,196,Lower Barrington,108,21.26,400,78.74,508,98.26,9,1.74,517
1,TAS,319,Lower Sandy Bay,446,59.31,306,40.69,752,98.95,8,1.05,760
1,TAS,196,Magra,117,20.53,453,79.47,570,96.94,18,3.06,588
1,TAS,195,Margate,691,49.68,700,50.32,1391,98.58,20,1.42,1411
1,TAS,193,Marrawah,36,18.27,161,81.73,197,99.49,1,0.51,198
1,TAS,196,Meander,101,35.07,187,64.93,288,99.65,1,0.35,289
1,TAS,193,Melrose,58,23.77,186,76.23,244,98.39,4,1.61,248
1,TAS,195,Middleton,152,54.87,125,45.13,277,98.93,3,1.07,280
1,TAS,196,Midway Point,472,47.44,523,52.56,995,98.32,17,1.68,1012
1,TAS,196,Miena,36,20.45,140,79.55,176,100,0,0,176
1,TAS,196,Mole Creek,83,31.68,179,68.32,262,99.24,2,0.76,264
1,TAS,196,Molesworth,128,40.38,189,59.62,317,98.14,6,1.86,323
1,TAS,195,Montagu Bay,604,62.46,363,37.54,967,99.28,7,0.72,974
1,TAS,193,Montello,320,32.13,676,67.87,996,98.22,18,1.78,1014
1,TAS,319,Moonah,692,62.12,422,37.88,1114,99.02,11,0.98,1125
1,TAS,319,Moonah East,811,56.87,615,43.13,1426,98.75,18,1.25,1444
1,TAS,193,Moorleah,53,24.77,161,75.23,214,99.07,2,0.93,216
1,TAS,195,Mornington,322,53.67,278,46.33,600,97.88,13,2.12,613
1,TAS,319,Mount Nelson,741,69.58,324,30.42,1065,98.89,12,1.11,1077
1,TAS,319,Mount Stuart,669,77.25,197,22.75,866,98.86,10,1.14,876
1,TAS,195,Mountain River,303,49.11,314,50.89,617,98.25,11,1.75,628
1,TAS,192,Mowbray,237,41.65,332,58.35,569,99.13,5,0.87,574
1,TAS,193,Natone,30,21.43,110,78.57,140,98.59,2,1.41,142
1,TAS,196,New Norfolk,629,32.91,1282,67.09,1911,98.1,37,1.9,1948
1,TAS,196,New Norfolk North,350,27.62,917,72.38,1267,97.91,27,2.09,1294
1,TAS,319,New Town Central,541,66.71,270,33.29,811,98.78,10,1.22,821
1,TAS,319,New Town West,863,68.33,400,31.67,1263,99.06,12,0.94,1275
1,TAS,192,Newnham,594,31.76,1276,68.24,1870,98.94,20,1.06,1890
1,TAS,192,Newnham South,362,36.24,637,63.76,999,99.01,10,0.99,1009
1,TAS,192,Newstead,817,49.88,821,50.12,1638,98.91,18,1.09,1656
1,TAS,195,North Bruny,46,77.97,13,22.03,59,100,0,0,59
1,TAS,319,North Hobart,570,75.5,185,24.5,755,98.95,8,1.05,763
1,TAS,319,North Hobart Central,1076,73.85,381,26.15,1457,98.38,24,1.62,1481
1,TAS,193,North Motton,69,24.04,218,75.96,287,98.97,3,1.03,290
