2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:21 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,WA,239,Burekup,114,26.33,319,73.67,433,98.63,6,1.37,439
1,WA,242,Burns Beach,786,35.06,1456,64.94,2242,99.16,19,0.84,2261
1,WA,239,Busselton,301,40.9,435,59.1,736,98.92,8,1.08,744
1,WA,239,Busselton East,376,33.63,742,66.37,1118,98.59,16,1.41,1134
1,WA,239,Busselton PPVC,2888,26.48,8019,73.52,10907,99.53,51,0.47,10958
1,WA,239,Busselton South,709,34.93,1321,65.07,2030,98.35,34,1.65,2064
1,WA,239,Busselton West,486,35.37,888,64.63,1374,99.06,13,0.94,1387
1,WA,244,Butler,524,32.31,1098,67.69,1622,99.33,11,0.67,1633
1,WA,244,Butler East,465,37.05,790,62.95,1255,98.97,13,1.03,1268
1,WA,244,Butler North,402,38.92,631,61.08,1033,99.04,10,0.96,1043
1,WA,244,Butler South,171,39.86,258,60.14,429,99.31,3,0.69,432
1,WA,236,Byford,513,27.96,1322,72.04,1835,99.4,11,0.6,1846
1,WA,236,Byford North,339,28.97,831,71.03,1170,99.07,11,0.93,1181
1,WA,236,Byford PPVC,1422,19.87,5733,80.13,7155,99.29,51,0.71,7206
1,WA,236,Byford West,704,31.58,1525,68.42,2229,98.63,31,1.37,2260
1,WA,312,Cable Beach,304,61.41,191,38.59,495,99,5,1,500
1,WA,312,Calingiri,14,8.54,150,91.46,164,100,0,0,164
1,WA,235,Calista,514,38.88,808,61.12,1322,98.73,17,1.27,1339
1,WA,317,Camillo,331,32.77,679,67.23,1010,98.44,16,1.56,1026
1,WA,317,Camillo South,498,35.52,904,64.48,1402,98.66,19,1.34,1421
1,WA,248,Canning Vale,938,38.11,1523,61.89,2461,98.8,30,1.2,2491
1,WA,248,Canning Vale East,327,36.29,574,63.71,901,98.69,12,1.31,913
1,WA,248,Canning Vale North,880,43.41,1147,56.59,2027,99.07,19,0.93,2046
1,WA,248,Canning Vale South,628,38.15,1018,61.85,1646,96.77,55,3.23,1701
1,WA,248,Canning Vale West,834,39.77,1263,60.23,2097,98.82,25,1.18,2122
1,WA,312,Cape Burney,52,26.8,142,73.2,194,98.98,2,1.02,196
1,WA,239,Capel,424,26.37,1184,73.63,1608,99.5,8,0.5,1616
1,WA,239,Carbunup River,113,37.17,191,62.83,304,99.35,2,0.65,306
1,WA,239,Carey Park,398,32.1,842,67.9,1240,98.73,16,1.27,1256
1,WA,239,Carey Park South,196,28.24,498,71.76,694,98.16,13,1.84,707
1,WA,242,Carine,588,45.9,693,54.1,1281,99.15,11,0.85,1292
1,WA,242,Carine North,394,57.86,287,42.14,681,99.42,4,0.58,685
1,WA,247,Carlisle,563,54.98,461,45.02,1024,98.56,15,1.44,1039
1,WA,312,Carnamah,24,11.48,185,88.52,209,99.52,1,0.48,210
1,WA,312,Carnarvon,164,32.22,345,67.78,509,99.22,4,0.78,513
1,WA,312,Carnarvon PPVC,421,26.78,1151,73.22,1572,99.87,2,0.13,1574
1,WA,244,Carramar,646,31.96,1375,68.04,2021,99.21,16,0.79,2037
1,WA,243,Castletown,200,21.1,748,78.9,948,99.06,9,0.94,957
1,WA,305,Caversham,788,40.35,1165,59.65,1953,98.79,24,1.21,1977
1,WA,243,Centennial Park,183,34.01,355,65.99,538,99.45,3,0.55,541
1,WA,312,Cervantes,25,9.58,236,90.42,261,98.86,3,1.14,264
1,WA,305,Chidlow,208,29.34,501,70.66,709,98.88,8,1.12,717
1,WA,238,Churchlands,739,52.75,662,47.25,1401,99.36,9,0.64,1410
1,WA,238,Churchlands North,243,51.48,229,48.52,472,99.58,2,0.42,474
1,WA,238,City Beach,639,50.31,631,49.69,1270,99.06,12,0.94,1282
1,WA,238,City Beach North,670,51.46,632,48.54,1302,98.94,14,1.06,1316
1,WA,238,Claremont,1077,50.92,1038,49.08,2115,99.25,16,0.75,2131
1,WA,244,Clarkson,340,41.67,476,58.33,816,98.67,11,1.33,827
1,WA,242,Clarkson MOORE PPVC,326,29.16,792,70.84,1118,99.03,11,0.97,1129
1,WA,244,Clarkson PEARCE PPVC,3194,25.88,9147,74.12,12341,99.12,109,0.88,12450
1,WA,244,Clarkson South,593,40.31,878,59.69,1471,99.12,13,0.88,1484
1,WA,244,Clarkson West,234,33.14,472,66.86,706,97.78,16,2.22,722
1,WA,239,Clifton Park,120,34.88,224,65.12,344,99.42,2,0.58,346
1,WA,247,Cloverdale,287,43.29,376,56.71,663,99.1,6,0.9,669
1,WA,235,Cockburn Central BRAND PPVC,271,30.25,625,69.75,896,98.79,11,1.21,907
1,WA,317,Cockburn Central BURT PPVC,714,33.57,1413,66.43,2127,99.58,9,0.42,2136
1,WA,240,Cockburn Central FREMANTLE PPVC,2389,32.4,4984,67.6,7373,99.23,57,0.77,7430
1,WA,240,Cockburn Central North FREMANTLE PPVC,1211,31.25,2664,68.75,3875,99.46,21,0.54,3896
1,WA,248,Cockburn Central North TANGNEY PPVC,92,31.19,203,68.81,295,100,0,0,295
1,WA,243,Collie,182,21.72,656,78.28,838,99.17,7,0.83,845
1,WA,243,Collie North,49,22.58,168,77.42,217,99.09,2,0.91,219
1,WA,243,Collie PPVC,682,17.36,3247,82.64,3929,99.37,25,0.63,3954
1,WA,243,Collie South,47,25.27,139,74.73,186,99.47,1,0.53,187
1,WA,247,Como,895,44.39,1121,55.61,2016,99.26,15,0.74,2031
1,WA,247,Como East,720,53.89,616,46.11,1336,99.26,10,0.74,1346
1,WA,247,Como South,452,49.78,456,50.22,908,98.59,13,1.41,921
1,WA,243,Condingup,14,15.73,75,84.27,89,98.89,1,1.11,90
1,WA,242,Connolly,524,37.4,877,62.6,1401,99.29,10,0.71,1411
1,WA,236,Coodanup,304,34.7,572,65.3,876,98.1,17,1.9,893
1,WA,240,Coogee,673,39.75,1020,60.25,1693,98.43,27,1.57,1720
1,WA,240,Coolbellup,908,53.86,778,46.14,1686,98.71,22,1.29,1708
1,WA,245,Coolbinia,862,51.74,804,48.26,1666,98.52,25,1.48,1691
1,WA,243,Coolgardie,72,25.26,213,74.74,285,100,0,0,285
1,WA,235,Cooloongup,277,27.16,743,72.84,1020,99.22,8,0.78,1028
1,WA,235,Cooloongup South,213,33.18,429,66.82,642,98.17,12,1.83,654
1,WA,236,Coolup,57,13.32,371,86.68,428,99.53,2,0.47,430
1,WA,312,Coorow,14,11.86,104,88.14,118,100,0,0,118
1,WA,312,Coral Bay,36,45,44,55,80,97.56,2,2.44,82
1,WA,243,Corrigin,94,18.11,425,81.89,519,98.86,6,1.14,525
1,WA,238,Cottesloe,912,53.08,806,46.92,1718,99.42,10,0.58,1728
