2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:22 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,VIC,219,Bentleigh South (Isaacs),107,50.71,104,49.29,211,100,0,0,211
1,VIC,214,Bentleigh West,1191,59.22,820,40.78,2011,99.06,19,0.94,2030
1,VIC,201,Berwick (Bruce),146,43.2,192,56.8,338,98.54,5,1.46,343
1,VIC,223,Berwick (La Trobe),852,45.01,1041,54.99,1893,98.75,24,1.25,1917
1,VIC,201,Berwick BRUCE PPVC,4012,34.66,7564,65.34,11576,99.25,88,0.75,11664
1,VIC,204,Berwick CASEY PPVC,167,39.2,259,60.8,426,98.84,5,1.16,431
1,VIC,201,Berwick Central,462,50.94,445,49.06,907,98.05,18,1.95,925
1,VIC,223,Berwick Chase,1002,51.86,930,48.14,1932,98.98,20,1.02,1952
1,VIC,201,Berwick Fields (Bruce),1223,49,1273,51,2496,98.97,26,1.03,2522
1,VIC,223,Berwick Fields (La Trobe),416,52.13,382,47.87,798,99.75,2,0.25,800
1,VIC,216,Berwick HOLT PPVC,729,39.92,1097,60.08,1826,99.13,16,0.87,1842
1,VIC,223,Berwick LA TROBE PPVC,6052,36.25,10645,63.75,16697,99.17,139,0.83,16836
1,VIC,201,Berwick Lodge (Bruce),452,46.08,529,53.92,981,98.89,11,1.11,992
1,VIC,223,Berwick Lodge (La Trobe),110,46.22,128,53.78,238,98.76,3,1.24,241
1,VIC,201,Berwick North,916,44.44,1145,55.56,2061,98.8,25,1.2,2086
1,VIC,223,Berwick South,389,50.45,382,49.55,771,99.48,4,0.52,775
1,VIC,218,Bethanga,124,35.63,224,64.37,348,99.15,3,0.85,351
1,VIC,224,Beulah,26,11.45,201,88.55,227,99.56,1,0.44,228
1,VIC,224,Beverford,19,14.84,109,85.16,128,100,0,0,128
1,VIC,226,Beveridge,452,41.54,636,58.46,1088,98.37,18,1.63,1106
1,VIC,200,Big Hill,224,41.18,320,58.82,544,98.37,9,1.63,553
1,VIC,224,Birchip,125,24.13,393,75.87,518,99.42,3,0.58,521
