2023 Referendum Polling Place Results By State [Please Note: These results are not final. Event:29581 Phase:PostElection Generated:2023-10-16T21:15:21 Cycle:1adc7347-4316-4308-a6b1-1fe08cde6680 Created:2023-10-16T21:15:15 Environment:PROD Site:CANBERRA Server:VTR03 Version:10.11.168.0]
QuestionNo,StateAb,DivisionID,PollingPlaceNm,YesVotes,YesPercentage,NoVotes,NoPercentage,FormalVotes,FormalPercentage,InformalVotes,InformalPercentage,TotalVotes
1,SA,183,Kadina,235,18.74,1019,81.26,1254,98.97,13,1.03,1267
1,SA,183,Kadina PPVC,768,14.08,4687,85.92,5455,99.58,23,0.42,5478
1,SA,180,Kalangadoo,49,17.82,226,82.18,275,98.92,3,1.08,278
1,SA,188,Kangarilla,198,34.86,370,65.14,568,99.13,5,0.87,573
1,SA,180,Kapunda,408,25.71,1179,74.29,1587,99.19,13,0.81,1600
1,SA,180,Karoonda,34,12.06,248,87.94,282,98.95,3,1.05,285
1,SA,180,Keith,106,12.93,714,87.07,820,100,0,0,820
1,SA,190,Kensington,751,60.81,484,39.19,1235,99.52,6,0.48,1241
1,SA,190,Kensington Gardens,277,50.55,271,49.45,548,100,0,0,548
1,SA,190,Kensington Park,785,55.52,629,44.48,1414,99.16,12,0.84,1426
1,SA,190,Kent Town,439,57.76,321,42.24,760,97.81,17,2.19,777
1,SA,188,Kersbrook,211,32.51,438,67.49,649,99.08,6,0.92,655
1,SA,179,Keswick,523,54.76,432,45.24,955,98.86,11,1.14,966
1,SA,180,Keyneton,50,31.06,111,68.94,161,99.38,1,0.62,162
1,SA,185,Kidman Park,515,31.56,1117,68.44,1632,98.85,19,1.15,1651
1,SA,185,Kidman Park North,203,44.32,255,55.68,458,99.35,3,0.65,461
1,SA,179,Kilburn,682,48.16,734,51.84,1416,98.4,23,1.6,1439
1,SA,179,Kilkenny (Adelaide),377,46.49,434,53.51,811,98.3,14,1.7,825
1,SA,185,Kilkenny (Hindmarsh),259,45.36,312,54.64,571,98.62,8,1.38,579
1,SA,179,Kilkenny North,463,40.54,679,59.46,1142,98.7,15,1.3,1157
1,SA,183,Kimba,42,8.28,465,91.72,507,99.02,5,0.98,512
1,SA,188,Kingscote,178,31.62,385,68.38,563,98.6,8,1.4,571
1,SA,188,Kingscote PPVC,406,31.69,875,68.31,1281,99.23,10,0.77,1291
1,SA,180,Kingston SE,161,16.18,834,83.82,995,87.05,148,12.95,1143
1,SA,182,Kingswood,556,62.68,331,37.32,887,99.11,8,0.89,895
1,SA,183,Kirton Point,247,29.13,601,70.87,848,97.7,20,2.3,868
1,SA,190,Klemzig,645,51.44,609,48.56,1254,99.05,12,0.95,1266
1,SA,180,Kongorong,15,10.56,127,89.44,142,99.3,1,0.7,143
